DEPTH,CNL_dec,DENS,SONI,LL9D,LL9S,MSFL,GrC,VCL,SW
10162.5,0.2211,2.439,94.99,2.012,2.47,3.753,171,0.5232,1
10163,0.2315,2.427,94.31,1.988,2.333,3.492,167.7,0.4823,1
10163.5,0.2452,2.415,92.53,2.025,2.275,3.274,165.4,0.4533,1
10164,0.2508,2.404,87.9,2.062,2.231,3.408,163.4,0.4281,1
10164.5,0.2528,2.413,88.29,2.217,2.334,3.934,158.3,0.3633,1
10165,0.2494,2.42,90.52,2.383,2.479,3.79,156.5,0.3409,1
10165.5,0.24,2.42,94.49,2.657,2.6,3.761,152.8,0.2948,1
10166,0.2175,2.43,97,2.857,2.836,4.398,146.8,0.2186,1
10166.5,0.2056,2.441,97.4,3.186,3.088,5.286,146.8,0.2186,1
10167,0.196,2.437,97.8,2.91,3.459,5.984,155.9,0.333,1
10167.5,0.1998,2.433,98.2,2.657,3.692,6.25,161.9,0.4092,1
10168,0.2222,2.418,98.6,2.383,3.624,4.007,162.8,0.4207,1
10168.5,0.2386,2.394,99.1,2.813,3.041,3.812,158.9,0.3712,1
10169,0.2504,2.37,99.6,3.186,2.799,4.039,158.9,0.3712,1
10169.5,0.2494,2.391,98.73,2.963,3.298,5.422,160.9,0.3963,1
10170,0.247,2.404,97.87,2.657,3.334,7.389,161.9,0.4094,1
10170.5,0.2482,2.415,97,2.383,3.666,7.919,165,0.4475,1
10171,0.2529,2.416,91.19,2.217,3.243,3.295,165.9,0.459,1
10171.5,0.2707,2.402,88.67,2.532,2.889,3.597,157.5,0.354,1
10172,0.2763,2.394,87.49,2.951,2.863,5.637,151.5,0.278,1
10172.5,0.2659,2.414,89.46,3.875,3.249,8.151,147,0.2216,1
10173,0.2503,2.433,95.19,5.245,3.895,7.348,145.3,0.2,1
10173.5,0.2314,2.448,98.9,6.823,5.111,9.833,149.8,0.2571,1
10174,0.2139,2.459,97.46,6.461,6.347,15.81,162.8,0.421,1
